cbsa,shortname,cbsa_name,pop2000,black_pop2000,black_diss,hisp_pop2000,hisp_diss,msa_name,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,house_index_change,psubprime0406,housestart_ratio
40380,"Rochester","Rochester, NY",1037831,119598,.664,46655,.54,"Rochester, NY",1034090,.3021134,13.84903,.1152384,10.80989,.0449543,"Northeast",0,0,0,1.675868,.2070849,.0469668
40900,"Sacramento","Sacramento--Arden-Arcade--Roseville, CA",1796857,147978,.556,278182,.403,"Sacramento--Arden-Arcade--Roseville, CA",2109832,.2955801,14.56212,.0823538,10.97644,.1548159,"West",0,0,1,7.440388,.2114384,.1864945
41180,"St Louis","St. Louis, MO-IL",2698687,491858,.732,40437,.277,"St. Louis, MO-IL",2816710,.2800839,14.85108,.1822583,10.85346,.014984,"Midwest",1,0,0,2.72015,.2621166,.0901324
41620,"Salt Lake City","Salt Lake City, UT",968858,13689,.357,113407,.412,"Salt Lake City, UT",1115692,.290278,13.92498,.014129,10.91625,.1170522,"West",0,0,1,1.932411,.2583398,.1439608
41700,"San Antonio","San Antonio, TX",1711703,115468,.509,863162,.497,"San Antonio, TX",2031445,.2387871,14.52426,.067458,10.7408,.5042709,"South",0,1,0,3.107636,.2818097,.1675078
41740,"San Diego","San Diego-Carlsbad-San Marcos, CA",2813833,186679,.535,750965,.506,"San Diego-Carlsbad-San Marcos, CA",3001072,.3322652,14.91448,.0663433,11.01814,.2668833,"West",0,0,1,6.869879,.162908,.091956
41884,"San Francisco","San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1731183,104572,.6,291563,.535,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1770460,.4790222,14.38675,.0604049,11.21936,.1684184,"West",0,0,1,4.219801,.0921908,.0351293
41940,"San Jose","San Jose-Sunnyvale-Santa Clara, CA",1735819,57387,.399,428917,.507,"San Jose-Sunnyvale-Santa Clara, CA",1819198,.4315548,14.41391,.0330605,11.32254,.2470978,"West",0,0,1,3.830823,.127152,.0665004
42044,"Orange","Santa Ana-Anaheim-Irvine, CA Metropolitan Division",2846289,59426,.371,875579,.551,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",3010759,.3456122,14.9177,.0208784,11.17886,.3076213,"West",0,0,1,7.615509,.1595297,.0655492
42260,"Sarasota","Sarasota-Bradenton-Venice, FL",589959,37387,.652,38682,.473,"Bradenton-Sarasota-Venice, FL",687823,.2748268,13.44129,.0633722,10.78818,.0655673,"South",0,1,0,8.278275,.2131579,.2196691
42540,"Scranton","Scranton--Wilkes-Barre, PA",560625,9723,.556,6858,.396,"Scranton--Wilkes-Barre, PA",549150,.2046416,13.21613,.0173431,10.61489,.0122328,"Northeast",0,0,0,1.771676,.2311354,.0288704
42644,"Seattle","Seattle-Bellevue-Everett, WA Metropolitan Division",2343058,126874,.489,123832,.302,"Seattle-Bellevue-Everett, WA Metropolitan Division",2559174,.3943214,14.75519,.0541489,11.06758,.0528506,"West",0,0,1,3.16707,.1738503,.1174822
44140,"Springfield","Springfield, MA",680014,45919,.642,75834,.641,"Springfield, MA",687558,.2854085,13.4409,.0675265,10.78446,.1115183,"Northeast",0,0,0,3.901538,.2427696,.0383807
44700,"Stockton","Stockton, CA",563598,42459,.526,172073,.364,"Stockton, CA",672388,.1676614,13.41859,.0753356,10.87563,.3053116,"West",0,0,1,8.513835,.2886276,.2108924
