1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
cbsa,shortname,cbsa_name,overlap_pop,spl_pop,overlap_index,bh_wa_diss,bh_w_diss,black_diss_index,black_xpx,hisp_pop2000,hisp_diss_index,hisp_xpx,loans_count,loans_amt,subprime_count,subprime_amt,,lnfcrate,pop2000,black_pop2000,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,ratio_boom_hist,psubprime0406,ratio_hs_hu2000
16974,Chicago,"Chicago-Naperville-Joliet, IL Metropolitan Division",1565957,1949664,0.803193268,0.6666189,0.6718546,0.802,0.787,1323868,0.612,0.557,424180,84711570,139587,23807698,,1.646642,7628412,1554233,7990248,0.3236716,15.89373,0.2037427,10.9789,0.1735444,Midwest,1,0,0,3.313709,0.2766089,0.0941104
17140,Cincinnati,"Cincinnati-Middletown, OH-KY-IN",132660,336006,0.394814378,0.6892205,0.6910758,0.725,0.557,22631,0.29,0.032,88901,11483887,22264,2353306,,1.392272,2009632,240500,2155137,0.2709262,14.58336,0.1196737,10.85757,0.0112613,Midwest,1,0,0,1.587151,0.2215499,0.1093034
17460,Cleveland,"Cleveland-Elyria-Mentor, OH",304921,431936,0.705940232,0.730045,0.7317302,0.769,0.726,72570,0.585,0.223,77079,9299038,22923,2264666,,1.987383,2148143,428114,2088291,0.2631813,14.55186,0.1992949,10.77059,0.0337827,Midwest,1,0,0,1.360349,0.2566234,0.0549841
17900,Columbia,"Columbia, SC",29624,29624,1,0.4643591,0.4663132,0.479,0.552,15608,0.349,0.086,28445,3687885,8272,801151,,0.4270355,647158,216113,728063,0.2936739,13.49814,0.3339416,10.75733,0.0241178,South,0,1,0,2.10814,0.270944,0.1633676
18140,Columbus,"Columbus, OH",133184,301382,0.44191093,0.5849787,0.5873921,0.621,0.492,28607,0.369,0.081,72465,9731134,19975,2060136,,1.672268,1612694,222479,1773120,0.3176216,14.38825,0.1379549,10.85296,0.0177386,Midwest,1,0,0,1.556238,0.239811,0.1485067
19124,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",620883,804213,0.772038005,0.5319707,0.5371057,0.587,0.545,805593,0.535,0.548,162594,23097479,47208,5162286,,1.57047,3451226,542371,4226003,0.3124313,15.25677,0.1571531,10.90007,0.2334223,South,0,1,0,1.582719,0.2716896,0.1892177
19380,Dayton,"Dayton, OH",108264,153489,0.705353478,0.6903963,0.690856,0.712,0.614,9811,0.259,0.032,30594,3242261,8533,727222,,1.67486,848153,128282,836544,0.2439439,13.63703,0.1512486,10.7418,0.0115675,Midwest,1,0,0,1.140722,0.2594039,0.0620248
19740,Denver,"Denver-Aurora, CO",299690,615165,0.487170109,0.4952778,0.5006311,0.608,0.363,399193,0.503,0.432,147107,25953981,37869,5259097,,2.058415,2157756,131666,2506626,0.3603643,14.73445,0.0610199,10.96887,0.1850038,West,0,0,1,1.702603,0.2252896,0.1709175
19804,Detroit,"Detroit-Livonia-Dearborn, MI Metropolitan Division",699079,729251,0.958626042,0.8168471,0.8216482,0.857,0.879,77207,0.545,0.355,80500,8350697,38682,3397653,,2.5182,2061162,886289,1949929,0.1941543,14.4833,0.4299948,10.67434,0.037458,Midwest,1,0,0,1.301704,0.4194706,0.0402168
20764,Edison,"Edison, NJ Metropolitan Division",111135,222247,0.500051744,0.5002168,0.5221151,0.576,0.345,191564,0.491,0.346,116927,27104049,25242,5907409,,1.04746,2173869,168054,2325224,0.3590863,14.65933,0.0773064,11.19908,0.0881212,Northeast,0,0,0,6.146823,0.1680304,0.0848685
21340,El Paso,"El Paso, TX",0,68485,0,0.4416197,0.4387269,0.333,0.246,531654,0.452,0.854,21073,1963698,7924,684934,,0.5211291,679622,23482,742062,0.1802894,13.51719,0.0345516,10.42478,0.782279,South,0,1,0,4.650308,0.3511842,0.1292227
22744,Fort Lauderdale,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",209876,321728,0.652339865,0.4353199,0.4425662,0.608,0.599,271652,0.31,0.306,123338,27186315,51239,9796617,,2.281803,1623018,360611,1751234,0.2854633,14.37583,0.2221855,10.8439,0.1673746,South,0,1,0,10.97497,0.3244786,0.084773
23104,Fort Worth,"Fort Worth-Arlington, TX Metropolitan Division",233377,306336,0.761833412,0.4907921,0.5027058,0.592,0.454,312124,0.477,0.445,83055,9703017,24638,2330075,,1.541667,1710318,198489,2074003,0.2601094,14.54499,0.1160539,10.87593,0.1824947,South,0,1,0,1.596585,0.2852508,0.1782063
23420,Fresno,"Fresno, CA",117193,143386,0.817325262,0.4166484,0.462785,0.504,0.36,351636,0.469,0.667,46373,9213583,16480,2942670,,1.954194,799407,47153,909153,0.1880136,13.72027,0.058985,10.71395,0.439871,West,0,0,1,9.975275,0.298513,0.1298908
23844,Gary,"Gary, IN Metropolitan Division",118260,140250,0.843208556,0.6908199,0.6912811,0.844,0.801,67362,0.485,0.363,29303,3398253,10415,981085,,1.361838,675971,127344,702458,0.1944995,13.46234,0.1883868,10.82854,0.0996522,Midwest,1,0,0,1.97758,0.3066503,0.0728562
24660,Greensboro,"Greensboro-High Point, NC",56757,69253,0.819560163,0.4927462,0.5003965,0.535,0.531,27456,0.444,0.151,27717,3383080,7425,724745,,0.9965905,643430,152005,705684,0.2489717,13.46692,0.2362417,10.66404,0.0426713,South,0,1,0,1.364271,0.250346,0.1455439
24860,Greenville,"Greenville, SC",22811,57424,0.397238089,0.4314056,0.4297859,0.458,0.382,17514,0.371,0.085,24021,3036502,6219,573325,,0.4438189,559940,97119,624715,0.2557798,13.34505,0.1734454,10.68536,0.0312783,South,0,1,0,1.636461,0.2284398,0.1391753
25540,Hartford,"Hartford-West Hartford-East Hartford, CT",143936,210863,0.682604345,0.6365291,0.6404464,0.649,0.495,107490,0.634,0.452,54932,8494309,12377,1829431,,0.825771,1148618,120604,1190512,0.3305413,13.98989,0.1049992,11.08197,0.093582,Northeast,0,0,0,3.604024,0.2048471,0.058283
26180,Honolulu,"Honolulu, HI",0,59853,0,0.3249387,0.3045394,0.349,0.221,58729,0.328,0.347,34619,10856595,7974,2269434,,-0.2836211,876156,29764,905034,0.2996669,13.71573,0.0339711,11.07217,0.0670303,West,0,0,1,5.815784,0.1584217,0.063229
26420,Houston,"Houston-Baytown-Sugar Land, TX",928546,1037050,0.895372451,0.5334113,0.5550556,0.648,0.626,1353477,0.534,0.594,219815,27197377,74078,7478628,,1.347241,4715407,816367,5728143,0.2727567,15.5609,0.1731276,10.85292,0.2870329,South,0,1,0,2.423288,0.3165495,0.2013285
26900,Indianapolis,"Indianapolis, IN",148473,326474,0.45477741,0.6627492,0.6650416,0.709,0.563,41544,0.438,0.103,77581,9887966,22958,2212191,,1.884544,1525104,222999,1715459,0.2963324,14.35519,0.1462189,10.8706,0.0272401,Midwest,1,0,0,1.180825,0.266463,0.1816566
27260,Jacksonville,"Jacksonville, FL",126975,155744,0.815280203,0.4744882,0.478846,0.532,0.528,42541,0.266,0.073,86329,14149525,27116,3551720,,1.774303,1122750,247829,1313228,0.2559439,14.088,0.2207339,10.84484,0.03789,South,0,1,0,5.783984,0.2859485,0.2341053
28140,Kansas City,"Kansas City, MO-KS",209249,351487,0.595325005,0.619091,0.6216437,0.691,0.567,93893,0.455,0.227,100320,12786215,29322,2962238,,1.233603,1836038,239059,2002047,0.3123516,14.50968,0.1302037,10.88863,0.0511389,Midwest,1,0,0,2.093045,0.2735005,0.1344052
28940,Knoxville,"Knoxville, TN",17260,62580,0.275806967,0.5137312,0.515715,0.559,0.365,7744,0.254,0.022,30862,3794458,7543,782728,,0.7750916,616079,41474,691152,0.2706074,13.44612,0.0673193,10.70349,0.0125698,South,0,1,0,2.453477,0.2274425,0.1132361
29404,Lake,"Lake County-Kenosha County, IL-WI Metropolitan Division",108224,175756,0.615762762,0.5954984,0.5977351,0.65,0.391,103473,0.583,0.426,43895,9533587,11632,2016266,,1.395658,793933,56644,876918,0.3713405,13.68417,0.0713461,11.18001,0.1303296,Midwest,1,0,0,2.764242,0.2140128,0.1369576
29820,Las Vegas,"Las Vegas-Paradise, NV",252387,494832,0.510045834,0.4019108,0.4080845,0.388,0.297,302143,0.424,0.432,162971,35490990,58918,10860114,,2.669846,1375765,137477,1865746,0.2035419,14.43917,0.0999277,10.90226,0.2196182,West,0,0,1,7.770884,0.2828591,0.3997928
30780,Little Rock,"Little Rock-North Little Rock, AR",90341,95004,0.950917856,0.5850807,0.5859236,0.609,0.547,12646,0.347,0.065,24377,2840164,5789,555974,,1.175047,610518,130930,675069,0.2694763,13.42257,0.2144572,10.72665,0.0207136,South,0,1,0,2.071379,0.2259492,0.112706
31084,Los Angeles,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2280838,2667997,0.854887768,0.5780366,0.6272956,0.664,0.652,4242213,0.631,0.781,421944,153552724,134399,40568230,,1.57089,9519338,999747,9862049,0.2761715,16.1042,0.1050227,10.871,0.4456416,West,0,0,1,7.849059,0.2401807,0.0416979
31140,Louisville,"Louisville, KY-IN",81786,210520,0.388495155,0.5950402,0.5968331,0.626,0.525,19506,0.342,0.053,50992,5849289,12965,1208757,,0.7220172,1161975,155784,1244696,0.2325366,14.0344,0.1340683,10.73846,0.0167869,South,0,1,0,1.609302,0.2320118,0.1132789
32580,McAllen,"McAllen-Edinburg-Pharr, TX",1,1,1,0.4080467,0.4039572,0.424,0.199,503100,0.395,0.904,13786,1321051,6638,578352,,0.1070117,569463,3327,726604,0.1499772,13.49614,0.0058423,10.25161,0.8834639,South,0,1,0,3.022583,0.4689989,0.2645398
32820,Memphis,"Memphis, TN-MS-AR",291691,291691,1,0.638494,0.6439154,0.657,0.737,28401,0.46,0.16,53907,6596925,19324,1931310,,1.934335,1205204,529002,1285732,0.2393436,14.06684,0.4389315,10.70313,0.0235653,South,0,1,0,1.358298,0.3550903,0.1434788
33124,Miami,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1,1,1,0.4461454,0.4512751,0.694,0.782,1291737,0.439,0.791,158406,36166520,76315,14924501,,2.216313,2253362,487015,2398245,0.2573886,14.69025,0.2161282,10.64407,0.5732487,South,0,1,0,8.709714,0.383274,0.1349183
33340,Milwaukee,"Milwaukee-Waukesha-West Allis, WI",313925,356031,0.881735017,0.7305365,0.7386679,0.818,0.72,94511,0.595,0.396,68576,10306996,20375,2447744,,1.138269,1500741,245151,1549308,0.2971027,14.25332,0.1633533,10.85261,0.0629762,Midwest,1,0,0,2.916573,0.24356,0.0659056
33460,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",98709,510849,0.193225395,0.5158572,0.5334184,0.576,0.313,99121,0.465,0.158,162350,28249324,42149,6566726,,0.9436903,2968806,184688,3229878,0.3654928,14.98796,0.0622095,11.06454,0.0333875,Midwest,1,0,0,3.671924,0.2082815,0.1498625
34980,Nashville,"Nashville-Davidson--Murfreesboro, TN",82411,162158,0.508214211,0.5468187,0.5504462,0.575,0.474,41177,0.46,0.123,77754,11208611,18113,2206796,,1.067512,1311789,200207,1550733,0.2820886,14.25424,0.1526213,10.81936,0.03139,South,0,1,0,1.910426,0.2268731,0.1762713
35004,Suffolk,"Suffolk County-Nassau County, NY Metropolitan Division",327721,562976,0.582122506,0.5763138,0.5817562,0.73,0.55,282693,0.469,0.34,113509,32359707,34420,9167126,,0.9634625,2753913,252581,2863849,0.3535398,14.86768,0.0917171,11.33975,0.1026514,Northeast,0,0,0,5.947809,0.2407794,0.0395323
35084,Newark,"Newark-Union, NJ-PA Metropolitan Division",578210,649360,0.890430578,0.7240021,0.7279171,0.8,0.778,272492,0.651,0.531,99600,24351545,29652,6749595,,1.41461,2098843,476311,2121076,0.3564082,14.56743,0.2269398,11.13114,0.1298296,Northeast,0,0,0,4.803666,0.2350385,0.056371
