1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
cbsa,shortname,cbsa_name,overlap_pop,spl_pop,overlap_index,bh_wa_diss,bh_w_diss,black_diss_index,black_xpx,hisp_pop2000,hisp_diss_index,hisp_xpx,loans_count,loans_amt,subprime_count,subprime_amt,,lnfcrate,pop2000,black_pop2000,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,ratio_boom_hist,psubprime0406,ratio_hs_hu2000
41940,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",287785,443641,0.648688917,0.4396136,0.4920447,0.399,0.149,428917,0.507,0.57,81019,36767099,15395,5914989,,1.348032,1735819,57387,1819198,0.4315548,14.41391,0.0330605,11.32254,0.2470978,West,0,0,1,3.830823,0.127152,0.0665004
42044,Orange,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",652840,919792,0.709769165,0.5067937,0.5397937,0.371,0.091,875579,0.551,0.612,135424,56986337,31400,11030896,,1.555286,2846289,59426,3010759,0.3456122,14.9177,0.0208784,11.17886,0.3076213,West,0,0,1,7.615509,0.1595297,0.0655492
42260,Sarasota,"Sarasota-Bradenton-Venice, FL",47621,129704,0.36715136,0.5534245,0.5536633,0.652,0.403,38682,0.473,0.229,43712,10077553,12548,2353118,,1.925988,589959,37387,687823,0.2748268,13.44129,0.0633722,10.78818,0.0655673,South,0,1,0,8.278275,0.2131579,0.2196691
42540,Scranton,"Scranton--Wilkes-Barre, PA",0,106910,0,0.5192174,0.5196049,0.556,0.08,6858,0.396,0.036,20773,1903174,5782,507668,,0.1047195,560625,9723,549150,0.2046416,13.21613,0.0173431,10.61489,0.0122328,Northeast,0,0,0,1.771676,0.2311354,0.0288704
42644,Seattle,"Seattle-Bellevue-Everett, WA Metropolitan Division",0,691580,0,0.36817,0.396038,0.489,0.227,123832,0.302,0.113,161076,41000496,34659,7072313,,0.5464131,2343058,126874,2559174,0.3943214,14.75519,0.0541489,11.06758,0.0528506,West,0,0,1,3.16707,0.1738503,0.1174822
44140,Springfield,"Springfield, MA",76301,162437,0.469726725,0.6420242,0.644226,0.642,0.393,75834,0.641,0.463,27746,3765151,8141,1036368,,0.9444868,680014,45919,687558,0.2854085,13.4409,0.0675265,10.78446,0.1115183,Northeast,0,0,0,3.901538,0.2427696,0.0383807
44700,Stockton,"Stockton, CA",106457,142105,0.749143239,0.3073004,0.3757295,0.526,0.353,172073,0.364,0.508,47112,12654672,16989,4232121,,2.74298,563598,42459,672388,0.1676614,13.41859,0.0753356,10.87563,0.3053116,West,0,0,1,8.513835,0.2886276,0.2108924
45060,Syracuse,"Syracuse, NY",33814,76821,0.4401661,0.6512814,0.6571297,0.692,0.46,13501,0.444,0.128,19565,1769197,4732,360777,,-0.6070849,650154,49386,643794,0.2693331,13.37513,0.0759605,10.76458,0.0207658,Northeast,0,0,0,2.85994,0.2074015,0.0358935
45104,Tacoma,"Tacoma, WA Metropolitan Division",4129,199182,0.020729785,0.3730219,0.3929595,0.454,0.213,38621,0.31,0.112,53819,10291233,16707,2771926,,1.357958,700820,59948,785639,0.2301157,13.57425,0.0855398,10.90485,0.0551083,West,0,0,1,3.932256,0.2729014,0.1384619
45300,Tampa,"Tampa-St. Petersburg-Clearwater, FL",272786,360539,0.756606081,0.5123759,0.515725,0.629,0.472,248642,0.444,0.278,180329,30549936,65162,9378664,,1.942541,2395997,258091,2733761,0.2507587,14.82119,0.1077176,10.7198,0.1037739,South,0,1,0,7.160581,0.2982429,0.1533305
45780,Toledo,"Toledo, OH",65447,151557,0.431830928,0.5859182,0.5872921,0.694,0.556,28660,0.338,0.103,23295,2514502,6455,552928,,1.702505,659188,84069,649104,0.2301733,13.38335,0.1275342,10.73346,0.0434777,Midwest,1,0,0,1.611413,0.2442264,0.0708542
46060,Tucson,"Tucson, AZ",176129,199104,0.884608044,0.4693756,0.4708743,0.379,0.124,247578,0.488,0.532,59745,10059605,16346,2275507,,1.325844,843746,30893,1012018,0.295532,13.82746,0.0366141,10.70068,0.2934272,West,0,0,1,5.12291,0.2230935,0.1602473
46140,Tulsa,"Tulsa, OK",43509,115934,0.375291114,0.51107,0.5139416,0.567,0.456,39534,0.4,0.135,34783,3617574,10821,853350,,1.115238,859532,81169,916079,0.2461373,13.72786,0.0944339,10.68622,0.0459948,South,0,1,0,1.6823,0.2875382,0.0895328
47260,Norfolk,"Virginia Beach-Norfolk-Newport News, VA-NC",231762,278429,0.832391741,0.4396507,0.4440262,0.459,0.547,49014,0.316,0.086,103123,17594394,29247,4317715,,0.1749565,1576370,504847,1658292,0.2655879,14.3213,0.3202592,10.90489,0.031093,South,0,1,0,6.286531,0.2511737,0.1032412
47644,Warren,"Warren-Farmington Hills-Troy, MI Metropolitan Division",140366,440408,0.318718098,0.5791551,0.5837355,0.679,0.452,49711,0.309,0.077,115796,17246765,30129,3915596,,1.797622,2391395,156963,2475181,0.3124897,14.72182,0.0656366,11.03468,0.0207874,Midwest,1,0,0,1.310958,0.2027225,0.1020385
47894,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",726393,887643,0.81833913,0.5827891,0.5948893,0.657,0.7,324420,0.477,0.354,308600,80995789,91566,20818126,,1.469147,3727565,1165208,4181729,0.4445497,15.24623,0.3125923,11.28628,0.0870327,South,0,1,0,7.7471,0.2277642,0.1406959
48424,Palm Beach,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",136189,295352,0.461107424,0.5196025,0.5209835,0.647,0.555,140675,0.425,0.296,81668,19888775,27768,5556134,,1.888539,1131184,168585,1265293,0.3035733,14.05081,0.1490341,10.86573,0.1243608,South,0,1,0,9.778423,0.2543023,0.1494472
48620,Wichita,"Wichita, KS",21979,120135,0.182952512,0.4866661,0.498091,0.582,0.415,41282,0.425,0.248,24771,2337315,6001,450879,,0.201381,571166,47218,603716,0.253839,13.31086,0.0826695,10.75357,0.0722767,Midwest,1,0,0,1.469043,0.2459775,0.0939916
48864,Wilmington,"Wilmington, DE-MD-NJ Metropolitan Division",67804,109606,0.618615769,0.5063422,0.5077551,0.527,0.469,30097,0.448,0.205,37734,5877431,10186,1460823,,0.2998057,650501,118712,695708,0.2827015,13.45269,0.1824932,11.01914,0.0462674,South,0,1,0,4.349215,0.2252314,0.085848
49340,Worcester,"Worcester, MA",21794,97905,0.222603544,0.5353269,0.5422761,0.503,0.125,50864,0.559,0.26,37930,6543608,10068,1711386,,1.215417,750963,24381,783806,0.3124865,13.57192,0.0324663,11.01385,0.0677317,Northeast,0,0,0,4.004787,0.2051939,0.0777648
